,Prec_Intg
0,67.38940253853798
1,114.40441012382507
2,119.5424422621727
3,191.72634929418564
4,230.25166243314743
5,201.40107721090317
6,164.7430658340454
7,159.9522866308689
8,133.74334201216698
9,162.70458698272705
10,216.53695032000542
11,335.15941351652145
12,415.15862569212914
13,485.4106158018112
14,438.19619342684746
15,346.9354659318924
16,280.36588802933693
17,347.06056118011475
18,289.79944065213203
19,293.39704662561417
20,298.3120083808899
21,218.2743325829506
22,160.63030809164047
23,140.2590237557888
24,144.9037902057171
25,172.3405346274376
26,197.76571542024612
27,211.81274205446243
28,251.26392021775246
29,327.53001898527145
30,271.9501964747906
31,209.91096273064613
32,205.21700382232666
33,112.91977018117905
34,116.58124625682831
35,148.90549704432487
36,182.65940248966217
37,222.807414829731
38,157.53448009490967
39,135.19307598471642
40,98.8476537168026
41,135.98104938864708
42,106.63697496056557
43,113.86442929506302
44,137.2070237994194
45,176.74244940280914
46,169.90980133414268
47,165.56361690163612
48,231.06355220079422
49,227.10928693413734
50,190.17735496163368
51,178.30194905400276
52,212.33698353171349
53,199.43095743656158
54,230.78100755810738
55,252.33393535017967
56,252.62314826250076
57,224.73324090242386
58,165.8952608704567
59,160.10941937565804
60,209.72808822989464
61,201.50458440184593
62,217.63116121292114
63,221.91867232322693
64,155.38053587079048
65,114.9204932153225
66,72.29791954159737
67,76.44739001989365
68,112.59282007813454
69,159.49668362736702
70,177.61999741196632
71,207.73759111762047
72,236.9641698896885
73,158.1409014761448
74,130.81097975373268
75,82.65787735581398
76,78.48400622606277
77,88.37610483169556
78,153.90608459711075
79,179.6022243797779
80,204.30546253919601
