,tot_Prec_Intg
0,242.7893877029419
1,358.77808928489685
2,406.55598044395447
3,576.4991044998169
4,815.078467130661
5,736.3684475421906
6,640.2973085641861
7,581.4813077449799
8,500.834584236145
9,581.1312049627304
10,709.4165682792664
11,1052.66273021698
12,1449.5190978050232
13,1797.8449165821075
14,1628.4537315368652
15,1260.836273431778
16,1019.720584154129
17,1233.7233126163483
18,1080.5004835128784
19,1042.5040125846863
20,1045.6112027168274
21,776.7826318740845
22,598.5455960035324
23,536.56205534935
24,527.9821157455444
25,660.7560813426971
26,656.3381850719452
27,719.7381556034088
28,891.0650014877319
29,1248.7491965293884
30,1055.292785167694
31,838.0056917667389
32,768.6514407396317
33,464.74114060401917
34,397.9554772377014
35,502.605140209198
36,659.2912971973419
37,842.9393917322159
38,565.5279755592346
39,450.6896436214447
40,437.537282705307
41,496.09869718551636
42,377.82058119773865
43,380.96822798252106
44,450.1805454492569
45,605.8606505393982
46,578.4305930137634
47,626.4013051986694
48,769.1854983568192
49,898.1300890445709
50,728.0143350362778
51,635.6556713581085
52,761.4251971244812
53,773.9511132240295
54,836.8854224681854
55,848.3713865280151
56,891.7579054832458
57,890.9352123737335
58,690.4980540275574
59,603.395402431488
60,668.6456501483917
61,709.0485095977783
62,783.5951447486877
63,695.2574849128723
64,584.0188264846802
65,526.0622501373291
66,258.6203068494797
67,233.24444890022278
68,352.6138514280319
69,531.122088432312
70,611.1984699964523
71,720.0120389461517
72,866.9310808181763
73,584.7220122814178
74,484.94070768356323
75,336.99050545692444
76,301.91540718078613
77,341.3384407758713
78,467.23634004592896
79,756.4179599285126
80,771.7937976121902
