time,lat,lon
2003-11-10:12.00.00,8.7,67.1
2003-11-10:15.00.00,8.59755,66.7525
2003-11-10:18.00.00,8.5,66.4
2003-11-10:21.00.00,8.40749,66.0425
2003-11-11:00.00.00,8.3,65.7
2003-11-11:03.00.00,8.1649,65.4151
2003-11-11:06.00.00,8,65.1
2003-11-11:09.00.00,7.81493,64.695
2003-11-11:12.00.00,7.6,64.2
2003-11-11:15.00.00,7.36494,63.6375
2003-11-11:18.00.00,7.1,63
2003-11-11:21.00.00,6.78508,62.2849
2003-11-12:00.00.00,6.5,61.6
2003-11-12:03.00.00,6.34994,61.1321
2003-11-12:06.00.00,6.30029,60.6329
2003-11-12:09.00.00,6.28309,60.1537
2003-11-12:12.00.00,6.3,59.75
2003-11-12:15.00.00,6.32112,59.4701
2003-11-12:18.00.00,6.35,59.2
2003-11-12:21.00.00,6.35384,58.7659
2003-11-13:00.00.00,6.35,58.4
2003-11-13:03.00.00,6.35374,58.25
2003-11-13:06.00.00,6.35,58.1
2003-11-13:09.00.00,6.17499,57.8
2003-11-13:12.00.00,6.05,57.55
2003-11-13:15.00.00,6.05373,57.1575
2003-11-13:18.00.00,6.05,57
2003-11-13:21.00.00,6.00752,56.7962
2003-11-14:00.00.00,5.95,56.35
2003-11-14:03.00.00,5.87283,56.1729
2003-11-14:06.00.00,5.63333,55.6333
2003-11-14:09.00.00,5.682,55.354
2003-11-14:12.00.00,5.8,55.2
2003-11-14:15.00.00,5.85,54.9775
2003-11-14:18.00.00,5.9,54.8
2003-11-14:21.00.00,5.95749,54.685
2003-11-15:00.00.00,6,54.6
2003-11-15:03.00.00,6.00749,54.5075
2003-11-15:06.00.00,6,54.4
2003-11-15:09.00.00,6,54.2575
2003-11-15:12.00.00,6,54.1
2003-11-15:15.00.00,6.0075,53.95
2003-11-15:18.00.00,6,53.8
2003-11-15:21.00.00,5.9575,53.65
2003-11-16:00.00.00,5.9,53.5
2003-11-16:03.00.00,5.85749,53.3575
2003-11-16:06.00.00,5.8,53.2
2003-11-16:09.00.00,5.73749,53.015
2003-11-16:12.00.00,5.6,52.8
2003-11-16:15.00.00,5.32999,52.565
2003-11-16:18.00.00,5,52.3
2003-11-16:21.00.00,4.70752,51.9775
2003-11-17:00.00.00,4.4,51.7
2003-11-17:03.00.00,4.04248,51.555
2003-11-17:06.00.00,3.7,51.5
2003-11-17:09.00.00,3.435,51.4775
2003-11-17:12.00.00,3.2,51.5
2003-11-17:15.00.00,2.9275,51.535
2003-11-17:18.00.00,2.7,51.6
2003-11-17:21.00.00,2.57,51.6925
2003-11-18:00.00.00,2.5,51.8
2003-11-18:03.00.00,2.4475,51.9025
