time,lat,lon
2013-10-15:12.00.00,13.9,148.65
2013-10-15:15.00.00,13.7468,147.774
2013-10-15:18.00.00,13.45,146.9
2013-10-15:21.00.00,13.0649,146.018
2013-10-16:00.00.00,12.7,145.257
2013-10-16:03.00.00,12.464,144.722
2013-10-16:06.00.00,12.225,144.325
2013-10-16:09.00.00,11.8681,143.906
2013-10-16:12.00.00,11.5,143.55
2013-10-16:15.00.00,11.165,143.261
2013-10-16:18.00.00,10.95,143.05
2013-10-16:21.00.00,10.9181,142.893
2013-10-17:00.00.00,11.025,142.8
2013-10-17:03.00.00,11.1694,142.733
2013-10-17:06.00.00,11.4,142.725
2013-10-17:09.00.00,11.6688,142.807
2013-10-17:12.00.00,12.05,142.875
2013-10-17:15.00.00,12.5856,142.832
2013-10-17:18.00.00,13.125,142.675
2013-10-17:21.00.00,13.5169,142.463
2013-10-18:00.00.00,13.8,142.25
2013-10-18:03.00.00,13.9712,142.095
2013-10-18:06.00.00,14.2,142
2013-10-18:09.00.00,14.683,141.99
2013-10-18:12.00.00,15.2,141.85
2013-10-18:15.00.00,15.604,141.514
2013-10-18:18.00.00,15.9,141.1
2013-10-18:21.00.00,16.0649,140.746
2013-10-19:00.00.00,16.2,140.4
2013-10-19:03.00.00,16.4425,140.043
2013-10-19:06.00.00,16.7,139.7
2013-10-19:09.00.00,16.913,139.405
2013-10-19:12.00.00,17.1,139.1
2013-10-19:15.00.00,17.2663,138.712
2013-10-19:18.00.00,17.425,138.325
2013-10-19:21.00.00,17.5812,137.999
2013-10-20:00.00.00,17.775,137.725
2013-10-20:03.00.00,18.0606,137.499
2013-10-20:06.00.00,18.35,137.3
2013-10-20:09.00.00,18.5375,137.074
2013-10-20:12.00.00,18.725,136.875
2013-10-20:15.00.00,19.0068,136.75
2013-10-20:18.00.00,19.3,136.625
2013-10-20:21.00.00,19.525,136.416
2013-10-21:00.00.00,19.75,136.2
2013-10-21:03.00.00,20.0206,136.039
2013-10-21:06.00.00,20.325,135.9
2013-10-21:09.00.00,20.6568,135.772
2013-10-21:12.00.00,21,135.625
2013-10-21:15.00.00,21.3287,135.446
2013-10-21:18.00.00,21.65,135.2
2013-10-21:21.00.00,21.9756,134.864
2013-10-22:00.00.00,22.275,134.475
2013-10-22:03.00.00,22.5256,134.084
2013-10-22:06.00.00,22.75,133.7
2013-10-22:09.00.00,22.9842,133.368
2013-10-22:12.00.00,23.2,133.025
2013-10-22:15.00.00,23.375,132.613
2013-10-22:18.00.00,23.55,132.175
2013-10-22:21.00.00,23.7787,131.746
2013-10-23:00.00.00,24,131.325
2013-10-23:03.00.00,24.1683,130.888
2013-10-23:06.00.00,24.3,130.525
2013-10-23:09.00.00,24.4086,130.291
2013-10-23:12.00.00,24.55,130.075
2013-10-23:15.00.00,24.6981,129.967
2013-10-23:18.00.00,24.875,129.85
2013-10-23:21.00.00,24.9812,129.769
2013-10-24:00.00.00,25.125,129.725
2013-10-24:03.00.00,25.4275,129.759
2013-10-24:06.00.00,25.775,129.85
2013-10-24:09.00.00,26.0712,130.028
2013-10-24:12.00.00,26.375,130.225
2013-10-24:15.00.00,26.7498,130.431
2013-10-24:18.00.00,27.125,130.725
2013-10-24:21.00.00,27.4905,131.168
2013-10-25:00.00.00,27.8,131.7
2013-10-25:03.00.00,28.2393,132.278
2013-10-25:06.00.00,28.75,132.975
2013-10-25:09.00.00,29.2473,133.769
2013-10-25:12.00.00,29.75,134.75
2013-10-25:15.00.00,30.2353,135.937
2013-10-25:18.00.00,30.8857,137.3
2013-10-25:21.00.00,31.3481,138.545
2013-10-26:00.00.00,31.8333,139.978
2013-10-26:03.00.00,32.2245,141.688
