time,latitude,longitude
2002-05-05:18.00.00,8.6,67.7
2002-05-05:21.00.00,8.62498,67.475
2002-05-06:00.00.00,8.7,67.2
2002-05-06:03.00.00,9.30004,66.88
2002-05-06:06.00.00,9.96667,66.5
2002-05-06:09.00.00,10.6136,66.2109
2002-05-06:12.00.00,11.15,66
2002-05-06:15.00.00,11.4424,65.8147
2002-05-06:18.00.00,11.75,65.6
2002-05-06:21.00.00,12.1997,65.2944
2002-05-07:00.00.00,12.65,64.9
2002-05-07:03.00.00,13.005,64.4424
2002-05-07:06.00.00,13.05,64
2002-05-07:09.00.00,13.0613,63.5504
2002-05-07:12.00.00,13.05,63.15
2002-05-07:15.00.00,13.0387,62.8375
2002-05-07:18.00.00,13.05,62.6
2002-05-07:21.00.00,13.1136,62.4704
2002-05-08:00.00.00,13.2,62.25
2002-05-08:03.00.00,13.2788,61.775
2002-05-08:06.00.00,13.35,61.3
2002-05-08:09.00.00,13.3791,60.9706
2002-05-08:12.00.00,13.45,60.7
2002-05-08:15.00.00,13.6759,60.4081
2002-05-08:18.00.00,13.9,60.05
2002-05-08:21.00.00,14,59.5825
2002-05-09:00.00.00,14.1,59.35
2002-05-09:03.00.00,14.1999,58.8612
2002-05-09:06.00.00,14.55,58.1
2002-05-09:09.00.00,14.6537,57.5575
2002-05-09:12.00.00,15,56.75
2002-05-09:15.00.00,15.075,56.1887
2002-05-09:18.00.00,15.4,55.65
2002-05-09:21.00.00,15.4999,54.9025
2002-05-10:00.00.00,15.8286,54.4429
2002-05-10:03.00.00,15.8949,54.0466
2002-05-10:06.00.00,16.1,53.84
2002-05-10:09.00.00,16.205,53.52
2002-05-10:12.00.00,16.5,53.3
2002-05-10:15.00.00,16.915,53.1725
2002-05-10:18.00.00,17.4,53.1
