,w10max
0,11.864826202392578
1,11.979488372802734
2,11.521276473999023
3,10.926358222961426
4,11.124916076660156
5,10.773589134216309
6,11.467859268188477
7,10.681755065917969
8,10.271726608276367
9,10.322110176086426
10,9.635149002075195
11,10.2714262008667
12,10.629178047180176
13,10.744527816772461
14,12.017663955688477
15,12.230791091918945
16,13.423971176147461
17,12.516594886779785
18,12.690391540527344
19,11.968958854675293
20,11.91537857055664
21,12.742112159729004
22,12.654852867126465
23,12.019781112670898
24,11.846973419189453
25,11.572942733764648
26,11.181095123291016
27,12.154668807983398
28,11.284540176391602
29,11.526063919067383
30,10.324793815612793
31,10.886237144470215
32,10.297194480895996
33,10.035748481750488
34,10.105171203613281
35,10.09577751159668
36,9.6284818649292
37,9.791568756103516
38,9.370516777038574
39,9.057560920715332
40,9.404232025146484
41,9.865575790405273
42,9.856642723083496
43,9.97952938079834
44,9.550342559814453
45,9.202507972717285
46,8.96735668182373
47,8.473062515258789
48,8.001420021057129
49,9.044649124145508
50,8.975493431091309
51,8.486271858215332
52,7.9078369140625
53,7.830338478088379
54,8.1195707321167
55,7.050215244293213
56,6.792264461517334
57,6.848181247711182
58,7.171377182006836
59,7.367629051208496
60,7.767701148986816
61,8.099920272827148
62,7.2878594398498535
63,7.113961219787598
64,8.2792387008667
65,7.94559907913208
66,7.201602935791016
67,7.373105525970459
68,7.9129133224487305
69,7.894415378570557
70,8.120077133178711
71,9.928030014038086
72,9.694160461425781
73,8.582275390625
74,8.401708602905273
75,8.948583602905273
76,10.050796508789062
77,9.683399200439453
