,w10max
0,11.331992149353027
1,11.789782524108887
2,11.869707107543945
3,11.36998176574707
4,11.495543479919434
5,12.14000415802002
6,12.800673484802246
7,13.04710578918457
8,14.101292610168457
9,12.150001525878906
10,12.887016296386719
11,12.518917083740234
12,12.905349731445312
13,13.06405258178711
14,13.338671684265137
15,12.082277297973633
16,12.861303329467773
17,12.020052909851074
18,12.745698928833008
19,13.40550708770752
20,14.178242683410645
21,14.395648002624512
22,14.685187339782715
23,14.49475383758545
24,14.235055923461914
25,13.8890380859375
26,14.15876293182373
27,15.172100067138672
28,17.79916000366211
29,18.685287475585938
30,20.714075088500977
31,19.760417938232422
32,18.878334045410156
33,17.029695510864258
34,17.504858016967773
35,18.411575317382812
36,18.11022186279297
37,17.928180694580078
38,20.08721923828125
39,19.325918197631836
40,17.21143913269043
41,16.864315032958984
42,17.85108757019043
43,20.879858016967773
44,21.283946990966797
45,20.776464462280273
46,21.6451416015625
47,22.39992904663086
48,21.44434928894043
49,21.14847755432129
50,18.253076553344727
51,17.5100040435791
52,17.083099365234375
53,19.15030860900879
54,19.449716567993164
55,16.250112533569336
56,14.169373512268066
57,13.271084785461426
