,w10max
0,10.252872467041016
1,10.139263153076172
2,10.4874906539917
3,10.8380126953125
4,10.333366394042969
5,10.945367813110352
6,12.216394424438477
7,12.024833679199219
8,10.525117874145508
9,13.566859245300293
10,13.986895561218262
11,13.564840316772461
12,13.674823760986328
13,14.921786308288574
14,15.551937103271484
15,14.696759223937988
16,12.796042442321777
17,13.35773754119873
18,14.095756530761719
19,12.806259155273438
20,13.191872596740723
21,13.450411796569824
22,12.961211204528809
23,14.159008026123047
24,14.024579048156738
25,13.803046226501465
26,15.552928924560547
27,16.978363037109375
28,16.55333709716797
29,16.889659881591797
30,17.227968215942383
31,17.12944793701172
32,17.258956909179688
33,16.942306518554688
34,16.76209831237793
35,15.98719596862793
36,13.926339149475098
37,14.041728973388672
38,13.200728416442871
39,12.886367797851562
40,13.108924865722656
41,13.161785125732422
42,12.17703628540039
43,11.789997100830078
44,11.195479393005371
45,11.144296646118164
46,10.762463569641113
47,11.263476371765137
48,9.894164085388184
49,10.180042266845703
50,8.678251266479492
51,8.923912048339844
52,9.484911918640137
53,9.642581939697266
54,9.929287910461426
55,10.048254013061523
56,9.39066219329834
