,Pmin
0,1000.256875
1,998.670625
2,999.405625
3,1001.39
4,1001.58125
5,998.903125
6,998.014375
7,1000.131875
8,1000.284375
9,998.625625
10,999.601875
11,1001.221875
12,1000.11375
13,997.81125
14,997.636875
15,1000.11375
16,999.616875
17,997.22
18,994.42
19,995.711875
20,994.66125
21,992.0425
22,990.37
23,992.420625
24,992.581875
25,989.833125
26,989.10125
27,989.9025
28,989.040625
29,986.809375
30,986.94125
31,988.835
32,986.97375
33,980.19125
34,977.73875
35,977.73125
36,981.995625
37,985.8675
38,986.615
39,988.3925
40,988.87125
