,tot_Prec_Intg
0,517.944693565369
1,1043.03911328316
2,925.812348723412
3,1167.33312606812
4,1258.70682299137
5,1048.42752218246
6,703.568905591965
7,801.356881856918
8,693.138837814331
9,1055.62441051006
10,1082.07136392593
11,1052.58427560329
12,1139.01183009148
13,1317.30951368809
14,1028.3151268959
15,804.338604211807
16,902.887284755707
17,1055.57054281235
18,1287.22600638866
19,1363.81469666958
20,1288.48999738693
21,958.947688341141
22,730.388313531876
23,706.689953804016
24,719.481110572815
25,1050.92510581017
26,1288.00608217716
27,1208.46211910248
28,1050.30812323093
29,894.097164273262
30,747.968256473541
31,736.140161752701
32,835.676714777947
33,1389.57679271698
34,1713.59807252884
35,2020.62577009201
36,2113.71511220932
37,1414.03555870056
38,1188.01139295101
39,1280.9032946825
