,tot_Prec_Intg
0,884.168371558189
1,765.415802598
2,690.313950181007
3,739.947259426117
4,788.843259215355
5,878.59995663166
6,911.026746034622
7,842.357873916626
8,794.888362288475
9,617.906227707863
10,579.265505075455
11,605.236813426018
12,654.91296350956
13,903.070122003555
14,902.826339006424
15,977.181047201157
16,968.543365597725
17,881.062597036362
18,795.797929167748
19,627.466365695
20,840.416103601456
21,1143.56659352779
22,1240.26775360107
23,1166.9398099184
24,1124.60315227509
25,1073.67165386677
26,896.952897310257
27,889.593213796616
28,991.757586598396
29,1321.61885499954
30,1229.60060834885
31,1115.2321100235
32,1131.0675740242
33,896.802321076393
34,799.463540315628
35,774.046927690506
36,973.802283406258
37,1090.85969626904
38,1086.40655875206
39,1107.43723809719
40,1128.76877188683
41,1050.65435171127
42,1021.07614278793
