,Pmin
0,1003.295625
1,1003.57625
2,1005.111875
3,1004.526875
4,1003.758125
5,1005.085
6,1006.5325
7,1004.2275
8,1002.585
9,1004.05125
10,1005.951875
11,1005.541875
12,1004.73125
13,1005.358125
14,1006.91125
15,1006.104375
16,1004.941875
17,1005.26375
18,1006.713125
19,1005.66625
20,1003.930625
21,1004.768125
22,1005.895625
23,1004.90125
24,1004.314375
25,1004.82375
26,1006.019375
27,1004.620625
28,1001.63
29,999.863125
30,1000.346875
31,999.345625
32,998.4825
33,999.483125
34,1000.711875
35,999.4025
36,998.484375
37,998.01
38,997.06375
39,997.474375
40,997.196875
41,997.830625
42,998.11
43,994.656875
44,991.735625
45,995.60125
46,996.32125
47,994.23875
48,994.099375
49,994.369375
50,998.59375
51,999.048125
52,999.34625
53,998.665625
54,999.68625
55,1000.119375
56,1001.12625
57,1002.27375
58,1004.338125
