,Pmin
0,1005.8525
1,1005.700625
2,1007.673125
3,1007.9525
4,1005.093125
5,1005.285625
6,1006.24375
7,1006.12625
8,1005.0975
9,1005.071875
10,1006.49625
11,1006.59625
12,1004.87625
13,1004.481875
14,1004.745
15,1004.63125
16,1003.213125
17,1002.469375
18,1002.829375
19,1003.266875
20,1001.9075
21,1002.00375
22,1002.635625
23,1002.770625
24,1001.546875
25,1002.185
26,1003.12625
27,1003.086875
28,1001.751875
29,1000.9025
30,1002.214375
31,1002.33625
32,1001.306875
33,1000.14
34,1001.28875
35,1002.24625
36,999.71
37,998.609375
38,999.025
39,998.258125
40,996.734375
41,996.261875
42,997.619375
43,997.44625
44,995.538125
45,994.1975
46,994.3725
47,993.839375
48,992.154375
49,991.075625
50,992.42
51,992.6525
52,990.810625
53,989.361875
54,989.85625
55,990.465
56,989.51625
57,987.985
58,990.033125
59,991.34625
60,987.051875
61,984.8375
62,987.06
63,987.175625
64,986.275625
65,985.516875
66,987.750625
67,989.564375
68,989.4875
69,989.9175
70,992.875625
71,994.956875
72,995.521875
73,995.124375
74,997.2925
75,999.44
76,999.065625
