,tot_Prec_Intg
0,537.140965461731
1,744.6043193340302
2,773.777961730957
3,754.1848719120026
4,493.5222119092941
5,325.4912793636322
6,297.0985323190689
7,407.20731019973755
8,443.5001313686371
9,625.4318356513977
10,654.425323009491
11,783.5988700389862
12,577.4915218353271
13,556.9921433925629
14,568.5656517744064
15,505.5353045463562
16,589.355081319809
17,601.1181324720383
18,621.2572753429413
19,558.5968494415283
20,442.63139367103577
21,466.7211323976517
22,446.2946951389313
23,645.163431763649
24,695.645660161972
25,686.7118924856186
26,670.2159345149994
27,607.5964868068695
28,621.9293177127838
29,584.905743598938
30,578.5243213176727
31,726.5061140060425
32,831.235721707344
33,1019.1461443901062
34,1154.199168086052
35,1301.7016649246216
36,1299.787163734436
37,1396.6791331768036
38,1420.266404747963
39,1237.2304499149323
40,875.888466835022
41,863.3954077959061
42,1040.9645736217499
43,1225.6419658660889
44,1147.2591012716293
45,1090.2977734804153
46,1072.980985045433
47,1309.5881789922714
48,995.8967566490173
49,961.9472920894623
50,1078.4772038459778
51,1074.6683180332184
52,1051.158607006073
53,1021.2010890245438
54,1065.2219504117966
55,1035.5430841445923
56,1007.89375603199
57,1012.2942924499512
58,1032.303050160408
59,1032.3026776313782
60,937.2016787528992
61,806.1441779136658
62,706.1349600553513
63,612.8117442131042
64,548.0362474918365
65,578.0231952667236
66,683.5873425006866
67,641.4003670215607
68,574.1056799888611
69,498.10953438282013
70,527.4173617362976
71,414.913147687912
72,371.59718573093414
