,Pmin
0,1007.665
1,1008.653125
2,1008.6125
3,1004.485625
4,1002.4175
5,1003.841875
6,1005.829375
7,1005.343125
8,1004.6025
9,1005.88875
10,1007.11
11,1005.715625
12,1004.415625
13,1005.021875
14,1004.71625
15,1003.073125
16,1001.754375
17,1001.929375
18,1001.4875
19,1000.4925
20,999.80125
21,1001.126875
22,1001.538125
23,1000.881875
24,1000.425
25,1002.044375
26,1002.233125
27,1000.84375
28,1000.109375
29,1000.75
30,1001.9675
31,1000.920625
32,1000.226875
33,997.703125
34,1000.099375
35,1000.16625
36,998.205625
37,999.656875
38,999.683125
39,1000.37625
40,1000.396875
41,999.728125
42,1002.270625
43,1002.73875
44,1003.816875
45,1005.521875
46,1005.771875
47,1005.341875
48,1005.070625
49,1006.633125
50,1006.751875
51,1005.769375
52,1006.86875
53,1008.52125
54,1008.464375
55,1006.73
56,1005.710625
57,1004.430625
58,1000.8575
