,Pmin
0,1004.54125
1,1005.9625
2,1004.043125
3,1001.621875
4,1002.404375
5,1003.55125
6,1000.575
7,998.475625
8,999.773125
9,1001.150625
10,1000.231875
11,998.685625
12,998.988125
13,1001.07125
14,1000.124375
15,998.04875
16,997.68875
17,999.379375
18,998.268125
19,996.313125
20,997.1675
21,998.08375
22,996.211875
23,993.668125
24,993.5325
25,994.379375
26,992.68375
27,989.864375
28,990.645625
29,991.225625
30,988.725
31,985.784375
32,984.53875
33,984.7525
34,982.734375
35,979.214375
36,976.015
37,975.251875
38,972.6125
39,968.713125
40,970.99875
41,975.134375
42,979.125625
