,tot_Prec_Intg
0,1095.2668637037277
1,991.1879897117615
2,823.8628506660461
3,912.0794385671616
4,963.7617319822311
5,1184.3247711658478
6,1247.5201487541199
7,1116.4508759975433
8,1089.761108160019
9,1121.5243488550186
10,986.320748925209
11,883.8989585638046
12,972.6607799530029
13,1418.0555194616318
14,1401.565968990326
15,1227.5797873735428
16,1241.322085261345
17,1267.4621492624283
18,1098.2660204172134
19,734.3287765979767
20,734.5598191022873
21,980.4242104291916
22,1033.1697016954422
23,1077.3877054452896
24,1059.8909109830856
25,1052.2548854351044
26,858.0742031335831
27,661.0102951526642
28,725.4655659198761
29,1184.8143488168716
30,1179.7121912240982
31,1115.5673116445541
32,1103.8028448820114
33,1048.5927015542984
34,930.672362446785
35,818.1729912757874
36,874.2452412843704
37,1237.3647093772888
38,1229.4568866491318
39,1270.4986333847046
40,1178.5173416137695
41,993.1612759828568
42,892.9610252380371
43,1007.9014301300049
44,1210.03158390522
45,1337.6770168542862
46,1396.9400525093079
47,1502.0693838596344
48,1519.3289518356323
49,1100.5371063947678
50,877.5473386049271
