,Prec_Intg
0,211.03188395500183
1,187.66643479466438
2,205.79475909471512
3,216.36249497532845
4,162.2307300567627
5,117.04731732606888
6,152.79028564691544
7,207.85359665751457
8,221.31670266389847
9,259.280726313591
10,199.46757704019547
11,169.83317211270332
12,144.1076025366783
13,175.23489892482758
14,213.04354071617126
15,242.1632967889309
16,222.2498506307602
17,223.24524819850922
18,242.66336113214493
19,185.30139699578285
20,136.62142679095268
21,157.52535313367844
22,177.853275090456
23,183.54017287492752
24,170.97800970077515
25,130.80395758152008
26,128.5547949373722
27,119.01618912816048
28,91.27704426646233
29,95.94589471817017
30,124.45101514458656
31,129.4642873108387
32,135.9281875193119
33,112.71556839346886
34,105.28853163123131
35,88.77633139491081
36,45.52870988845825
37,51.17727443575859
38,58.00250917673111
39,90.98075330257416
40,103.72009128332138
41,51.43994465470314
42,60.1935014128685
43,36.686062812805176
44,33.798255026340485
45,42.995885014534
46,81.6577672958374
47,44.4706529378891
48,37.3825803399086
49,23.512858897447586
50,19.576437771320343
51,17.35348254442215
52,16.20173454284668
53,17.172209918498993
54,17.330795526504517
55,26.311762630939484
56,18.50917935371399
57,12.081209570169449
58,10.65380871295929
59,8.555371314287186
60,5.8425962924957275
61,4.69062477350235
62,16.448665410280228
63,28.29086035490036
64,35.317372530698776
65,15.853922814130783
66,22.73060381412506
