,tot_Prec_Intg
0,666.140466928482
1,624.4733184576035
2,621.2626397609711
3,675.5205988883972
4,658.7966531515121
5,754.8932731151581
6,768.6250656843185
7,578.5492807626724
8,493.8039183616638
9,492.4781620502472
10,650.859922170639
11,812.0784163475037
12,915.7489240169525
13,890.2629464864731
14,809.6062391996384
15,1008.7922215461731
16,785.1897180080414
17,655.3930044174194
18,693.2126730680466
19,787.1968299150467
20,681.2495738267899
21,614.0874326229095
22,637.8770619630814
23,500.1513659954071
24,423.4860837459564
25,457.4378579854965
26,503.61059606075287
27,484.3927174806595
28,420.28874158859253
29,368.7293082475662
30,354.359969496727
31,363.2553666830063
32,382.7626258134842
33,394.73921060562134
34,413.00661861896515
35,606.2408536672592
36,489.4552379846573
37,392.2947496175766
38,309.67339873313904
39,185.42587757110596
40,149.17954802513123
41,129.36294078826904
42,172.64604568481445
43,137.98266649246216
44,135.8247548341751
45,90.18823504447937
46,95.51689028739929
47,129.75506484508514
48,83.5784524679184
49,84.87403392791748
50,124.64731931686401
51,132.66310095787048
52,152.53491699695587
53,170.71187496185303
54,189.71934914588928
55,259.23579931259155
56,197.26939499378204
