,Prec_Intg
0,174.2275431752205
1,146.97615057229996
2,144.3357765674591
3,134.55040752887726
4,118.22596192359924
5,182.1114867925644
6,165.928453207016
7,125.94927102327347
8,197.07698374986649
9,120.86201459169388
10,114.70567435026169
11,46.93761467933655
12,36.34907305240631
13,34.78344529867172
14,49.46429282426834
15,29.528848826885223
16,24.72609281539917
17,18.058642745018005
18,41.54987633228302
19,81.33873343467712
20,39.90925848484039
21,105.05206882953644
22,105.8444008231163
23,78.95298302173615
24,74.37232881784439
25,55.58677017688751
26,79.37055081129074
27,58.41139703989029
28,83.18684995174408
29,80.27743548154831
30,120.45376002788544
31,80.36281913518906
32,110.13951152563095
33,197.6059004664421
34,208.9047059416771
35,172.05554991960526
36,262.8825977444649
37,248.42869490385056
38,191.83624535799026
39,351.7167642712593
40,407.3377698659897
41,333.90041440725327
42,242.02007800340652
43,229.79602217674255
44,271.5739980340004
45,302.72770673036575
46,330.9304267168045
47,222.1863716840744
48,203.78803834319115
49,186.91163510084152
50,204.5627310872078
51,163.2486656308174
52,193.33705306053162
53,180.24180084466934
54,161.27970069646835
55,158.49512070417404
56,145.43868601322174
57,103.16595435142517
58,133.72577726840973
