,Pmin
0,1009.779375
1,1011.218125
2,1011.724375
3,1009.655625
4,1009.579375
5,1011.20125
6,1010.5175
7,1008.358125
8,1008.62
9,1010.119375
10,1010.078125
11,1008.17625
12,1007.32
13,1009.05375
14,1008.53125
15,1005.136875
16,1004.968125
17,1006.935625
18,1007.075625
19,1005.148125
20,1004.405625
21,1005.870625
22,1004.90875
23,1001.910625
24,1001.176875
25,1002.3625
26,1002.12625
27,998.601875
28,995.765
29,996.87875
30,996.623125
31,994.174375
32,993.731875
33,995.724375
34,995.991875
35,995.200625
36,992.053125
37,994.536875
38,993.1
39,991.7675
40,990.08625
41,990.59875
42,990.12125
43,988.174375
44,987.52125
45,988.060625
46,991.115
47,989.1875
48,988.498125
49,989.55875
50,988.908125
51,988.259375
52,986.94875
53,982.778125
54,979.761875
55,984.10125
56,985.67625
57,987.758125
58,989.088125
59,986.85125
60,989.196875
61,992.454375
62,996.47375
63,993.48875
64,991.2225
65,991.305
