,tot_Prec_Intg
0,430.8728873729706
1,577.9901146888733
2,848.5431224107742
3,844.3324267864227
4,679.1906803846359
5,677.1641969680786
6,519.8516696691513
7,866.439938545227
8,779.5453071594238
9,921.0079908370972
10,852.4478226900101
11,1044.5351898670197
12,904.3224155902863
13,744.762122631073
14,813.5753124952316
15,684.7389787435532
16,641.9283151626587
17,951.5629708766937
18,942.2061592340469
19,953.2012790441513
20,1157.7919870615005
21,1197.991892695427
22,1130.7637393474579
23,1184.772327542305
24,1249.1360306739807
25,1263.3958458900452
26,1163.419932126999
27,1148.2121050357819
28,1009.1017931699753
29,947.5018084049225
30,921.8299388885498
31,618.8829243183136
32,672.8594750165939
33,606.1308085918427
34,587.0135128498077
35,547.7868020534515
36,499.36532974243164
37,521.0740864276886
38,643.4866786003113
39,499.6788501739502
40,454.80966567993164
41,360.06972193717957
42,186.99511885643005
43,130.9680938720703
44,125.54891407489777
45,115.0839775800705
46,120.25274336338043
47,97.48794138431549
48,93.93423795700073
49,136.40284538269043
50,189.93712961673737
51,475.8864641189575
52,402.99616754055023
