,Pmin
0,1004.738125
1,1006.834375
2,1006.085
3,1003.889375
4,1003.748125
5,1005.97625
6,1004.8725
7,1002.634375
8,1002.736875
9,1005.1
10,1003.718125
11,1001.58
12,1001.645
13,1002.031875
14,1000.16125
15,997.5725
16,996.795
17,997.525625
18,996.176875
19,993.329375
20,989.4025
21,989.178125
22,987.64625
23,984.939375
24,979.66125
25,978.339375
26,977.470625
27,974.341875
28,974.36375
29,974.166875
30,973.948125
31,970.784375
32,967.12125
33,967.483125
34,966.08125
35,962.69125
36,959.3375
37,960.638125
38,958.189375
39,955.185
40,949.896875
41,949.155
42,946.490625
43,942.58875
44,951.5125
45,956.805
46,959.245625
47,958.043125
48,961.17625
49,963.54125
50,967.0725
